time,pass,rel_err,utau
0,0,0,0
2.5,1,0.0035755879760717,0.046043445830989
5,1,0.0032046148367408,0.046026425805941
7.5,1,0.0029369288529353,0.046014144533615
10,1,0.0022357190067124,0.045981973446597
